Codigo de hidrante;Distrito;Tipo de Calle;Direccion;Nº;CoordX ETRS89;CoordY ETRS89;Longitud;Latitud;direccion_completa
HI_01_0089;CENTRO;RONDA;ATOCHA;24;440771,51;4473101,36;-3.6980226;40.4064204;RONDA ATOCHA, 24
HI_01_0090;CENTRO;CALLE;VALENCIA;32;440644,46;4473057,07;-3.6995157;40.4060123;CALLE VALENCIA, 32
HI_01_0091;CENTRO;CALLE;MIGUEL SERVET;1;440558,53;4473232,64;-3.7005447;40.4075878;CALLE MIGUEL SERVET, 1
HI_01_0092;CENTRO;CALLE;ESPINO;4;440471,84;4473194,64;-3.7015628;40.4072393;CALLE ESPINO, 4
HI_01_0093;CENTRO;CALLE;OLMO;27;440598,5;4473675,05;-3.700115;40.4115761;CALLE OLMO, 27
HI_01_0094;CENTRO;CALLE;PRIMAVERA;1;440577,74;4473513,14;-3.7003445;40.4101161;CALLE PRIMAVERA, 1
HI_01_0095;CENTRO;CALLE;AVE MARIA;45;440527,7;4473423,93;-3.7009259;40.4093089;CALLE AVE MARIA, 45
HI_01_0096;CENTRO;CALLE;SALITRE;38;440677,12;4473382,18;-3.6991611;40.4089434;CALLE SALITRE, 38
HI_01_0097;CENTRO;CALLE;DOCTOR PIGA;3;440702,3;4473363,27;-3.6988626;40.4087749;CALLE DOCTOR PIGA, 3
HI_01_0098;CENTRO;CALLE;ARGUMOSA;9;440653,76;4473309,25;-3.6994296;40.4082848;CALLE ARGUMOSA, 9
HI_01_0099;CENTRO;CALLE;DOCTOR PIGA;19;440800,97;4473288,05;-3.6976928;40.4081043;CALLE DOCTOR PIGA, 19
HI_01_0100;CENTRO;CALLE;AMPARO;2;440239,71;4473624,87;-3.7043387;40.4110984;CALLE AMPARO, 2
HI_01_0101;CENTRO;CALLE;ENCOMIENDA;26;440054,71;4473554,54;-3.7065124;40.4104515;CALLE ENCOMIENDA, 26
HI_01_0102;CENTRO;TRAVESIA;ENCOMIENDA;2;440137,56;4473630,28;-3.7055431;40.4111398;TRAVESIA ENCOMIENDA, 2
HI_01_0103;CENTRO;CALLE;DOS HERMANAS;2;440205,13;4473578,49;-3.7047419;40.4106781;CALLE DOS HERMANAS, 2
HI_01_0104;CENTRO;CUESTA;DESCARGAS;6;439417,28;4473268,01;-3.7139972;40.4078242;CUESTA DESCARGAS, 6
HI_01_0105;CENTRO;CALLE;MANCEBOS;15;439505,47;4473786,31;-3.7130072;40.4124997;CALLE MANCEBOS, 15
HI_01_0106;CENTRO;CALLE;MANCEBOS;2;439614,95;4473743,1;-3.7117129;40.4121184;CALLE MANCEBOS, 2
HI_01_0107;CENTRO;CALLE;SAN ISIDRO LABRADOR;1;439526,62;4473516,95;-3.7127324;40.4100747;CALLE SAN ISIDRO LABRADOR, 1
HI_01_0108;CENTRO;CALLE;AGUILA;22;439510,33;4473383,13;-3.7129116;40.408868;CALLE AGUILA, 22
HI_01_0109;CENTRO;CALLE;TABERNILLAS;9;439647,43;4473616,51;-3.7113181;40.4109803;CALLE TABERNILLAS, 9
HI_01_0110;CENTRO;CALLE;TOLEDO;77;439844,61;4473558,97;-3.7089888;40.4104763;CALLE TOLEDO, 77
HI_01_0111;CENTRO;CALLE;CARLOS ARNICHES;12;439884,85;4473317,95;-3.7084918;40.408308;CALLE CARLOS ARNICHES, 12
HI_01_0112;CENTRO;CALLE;CARNERO;13;439857,18;4473308,37;-3.708817;40.4082197;CALLE CARNERO, 13
HI_01_0113;CENTRO;CALLE;MIRA EL RIO ALTA;10;439818,88;4473375,98;-3.7092747;40.408826;CALLE MIRA EL RIO ALTA, 10
HI_01_0114;CENTRO;CALLE;IRLANDESES;1;439717,66;4473464,4;-3.710476;40.4096152;CALLE IRLANDESES, 1
HI_01_0115;CENTRO;CALLE;IRLANDESES;17;439638,8;4473467,43;-3.7114056;40.4096367;CALLE IRLANDESES, 17
HI_01_0116;CENTRO;PLAZA;VIRGEN DE LA PALOMA;5;439594,84;4473338,71;-3.7119115;40.408474;PLAZA VIRGEN DE LA PALOMA, 5
HI_01_0117;CENTRO;CALLE;ROSARIO;17;439365,32;4473439,03;-3.7146259;40.409361;CALLE ROSARIO, 17
HI_01_0118;CENTRO;CALLE;SAN BERNABE;11;439356,49;4473371,5;-3.7147235;40.408752;CALLE SAN BERNABE, 11
HI_01_0119;CENTRO;CALLE;JERTE;2;439347,31;4473641,75;-3.7148574;40.4111859;CALLE JERTE, 2
HI_01_0120;CENTRO;CALLE;SAN BUENAVENTURA;14;439330,67;4473707,22;-3.7150598;40.4117745;CALLE SAN BUENAVENTURA, 14
HI_01_0121;CENTRO;CALLE;GRANADO;1;439524,03;4473850,61;-3.7127946;40.4130803;CALLE GRANADO, 1
HI_01_0122;CENTRO;CALLE;SEGOVIA;39;439187,06;4473934,88;-3.716774;40.4138149;CALLE SEGOVIA, 39
HI_01_0123;CENTRO;PASEO;VIRGEN DEL PUERTO;4;439028,8;4474067,57;-3.7186519;40.4149986;PASEO VIRGEN DEL PUERTO, 4
HI_01_0124;CENTRO;RONDA;ATOCHA;2;441000,95;4473180,6;-3.6953261;40.4071505;RONDA ATOCHA, 2
HI_01_0125;CENTRO;CALLE;ARGUMOSA;43;440942,8;4473215,38;-3.6960146;40.4074597;CALLE ARGUMOSA, 43
HI_01_0126;CENTRO;CALLE;DON PEDRO;14;439462;4473709,82;-3.7135123;40.4118075;CALLE DON PEDRO, 14
HI_01_0127;CENTRO;PASEO;VIRGEN DEL PUERTO;1;438912,81;4474493,96;-3.7200599;40.4188312;PASEO VIRGEN DEL PUERTO, 1
HI_01_0128;CENTRO;RONDA;ATOCHA;2;441090,66;4473211,78;-3.6942718;40.4074377;RONDA ATOCHA, 2
HI_01_0129;CENTRO;CARRERA;SAN FRANCISCO;14;439485,26;4473607,43;-3.7132284;40.4108868;CARRERA SAN FRANCISCO, 14
HI_01_0130;CENTRO;CALLE;LUCIENTE;14;439630,44;4473567,87;-3.7115137;40.4105409;CALLE LUCIENTE, 14
HI_01_0131;CENTRO;RONDA;SEGOVIA;3;439149,69;4473834,85;-3.7172049;40.412911;RONDA SEGOVIA, 3
HI_01_0132;CENTRO;CALLE;TOLEDO;110;439631,02;4473215,49;-3.7114734;40.4073666;CALLE TOLEDO, 110
